"","v","num","s","s.u","u","gc_name"
"1","cg_",1,"[0,0.25]","[0,0.25]",0.15,"cg_1"
"2","cg_",2,"[0,0.25]","(0.25,0.5]",0.15,"cg_2"
"3","cg_",3,"[0,0.25]","(0.5,0.75]",0.15,"cg_3"
"4","cg_",4,"[0,0.25]","(0.75,1]",0.15,"cg_4"
"5","cg_",5,"[0,0.25]","(1,1.25]",0.15,"cg_5"
"6","cg_",6,"[0,0.25]","(1.25,1.5]",0.15,"cg_6"
"7","cg_",7,"[0,0.25]","(1.5,1.75]",0.15,"cg_7"
"8","cg_",8,"[0,0.25]","(1.75,2]",0.15,"cg_8"
"9","cg_",9,"[0,0.25]","(2,2.25]",0.15,"cg_9"
"10","cg_",10,"[0,0.25]","(2.25,2.5]",0.15,"cg_10"
"11","cg_",11,"[0,0.25]","(2.5,2.75]",0.15,"cg_11"
"12","cg_",12,"[0,0.25]","(2.75,3]",0.15,"cg_12"
"13","cg_",13,"(0.25,0.5]","[0,0.25]",0.15,"cg_13"
"14","cg_",14,"(0.25,0.5]","(0.25,0.5]",0.15,"cg_14"
"15","cg_",15,"(0.25,0.5]","(0.5,0.75]",0.15,"cg_15"
"16","cg_",16,"(0.25,0.5]","(0.75,1]",0.15,"cg_16"
"17","cg_",17,"(0.25,0.5]","(1,1.25]",0.15,"cg_17"
"18","cg_",18,"(0.25,0.5]","(1.25,1.5]",0.15,"cg_18"
"19","cg_",19,"(0.25,0.5]","(1.5,1.75]",0.15,"cg_19"
"20","cg_",20,"(0.25,0.5]","(1.75,2]",0.15,"cg_20"
"21","cg_",21,"(0.25,0.5]","(2,2.25]",0.15,"cg_21"
"22","cg_",22,"(0.25,0.5]","(2.25,2.5]",0.15,"cg_22"
"23","cg_",23,"(0.25,0.5]","(2.5,2.75]",0.15,"cg_23"
"24","cg_",24,"(0.25,0.5]","(2.75,3]",0.15,"cg_24"
"25","cg_",25,"(0.5,0.75]","[0,0.25]",0.15,"cg_25"
"26","cg_",26,"(0.5,0.75]","(0.25,0.5]",0.15,"cg_26"
"27","cg_",27,"(0.5,0.75]","(0.5,0.75]",0.15,"cg_27"
"28","cg_",28,"(0.5,0.75]","(0.75,1]",0.15,"cg_28"
"29","cg_",29,"(0.5,0.75]","(1,1.25]",0.15,"cg_29"
"30","cg_",30,"(0.5,0.75]","(1.25,1.5]",0.15,"cg_30"
"31","cg_",31,"(0.5,0.75]","(1.5,1.75]",0.15,"cg_31"
"32","cg_",32,"(0.5,0.75]","(1.75,2]",0.15,"cg_32"
"33","cg_",33,"(0.5,0.75]","(2,2.25]",0.15,"cg_33"
"34","cg_",34,"(0.5,0.75]","(2.25,2.5]",0.15,"cg_34"
"35","cg_",35,"(0.5,0.75]","(2.5,2.75]",0.15,"cg_35"
"36","cg_",36,"(0.5,0.75]","(2.75,3]",0.15,"cg_36"
"37","cg_",37,"(0.75,1]","[0,0.25]",0.15,"cg_37"
"38","cg_",38,"(0.75,1]","(0.25,0.5]",0.15,"cg_38"
"39","cg_",39,"(0.75,1]","(0.5,0.75]",0.15,"cg_39"
"40","cg_",40,"(0.75,1]","(0.75,1]",0.15,"cg_40"
"41","cg_",41,"(0.75,1]","(1,1.25]",0.15,"cg_41"
"42","cg_",42,"(0.75,1]","(1.25,1.5]",0.15,"cg_42"
"43","cg_",43,"(0.75,1]","(1.5,1.75]",0.15,"cg_43"
"44","cg_",44,"(0.75,1]","(1.75,2]",0.15,"cg_44"
"45","cg_",45,"(0.75,1]","(2,2.25]",0.15,"cg_45"
"46","cg_",46,"(0.75,1]","(2.25,2.5]",0.15,"cg_46"
"47","cg_",47,"(0.75,1]","(2.5,2.75]",0.15,"cg_47"
"48","cg_",48,"(0.75,1]","(2.75,3]",0.15,"cg_48"
"49","cg_",49,"(1,1.25]","[0,0.25]",0.15,"cg_49"
